Date,Total
22/04/2019,5493.00 
23/04/2019,9152.00 
24/04/2019,10665.00 
25/04/2019,6179.00 
26/04/2019,10217.00 
27/04/2019,8444.00 
28/04/2019,8266.00 
29/04/2019,15301.00 
30/04/2019,16823.00 
01/05/2019,17487.00 
02/05/2019,16892.00 
03/05/2019,16588.00 
04/05/2019,12657.00 
05/05/2019,9409.00 
06/05/2019,17101.00 
07/05/2019,18019.00 
08/05/2019,17128.00 
09/05/2019,17573.00 
10/05/2019,16234.00 
11/05/2019,11035.00 
12/05/2019,8489.00 
13/05/2019,16746.00 
14/05/2019,18167.00 
15/05/2019,18417.00 
16/05/2019,18018.00 
17/05/2019,19318.00 
18/05/2019,11468.00 
19/05/2019,8679.00 
20/05/2019,17165.00 
21/05/2019,17968.00 
22/05/2019,18490.00 
23/05/2019,18251.00 
24/05/2019,19144.00 
25/05/2019,11893.00 
26/05/2019,9839.00 
27/05/2019,5554.00 
28/05/2019,15167.00 
29/05/2019,14332.00 
30/05/2019,15441.00 
31/05/2019,15682.00 
01/06/2019,7951.00 
02/06/2019,6035.00 
03/06/2019,14069.00 
04/06/2019,14509.00 
05/06/2019,14470.00 
06/06/2019,14696.00 
07/06/2019,15404.00 
08/06/2019,7760.00 
09/06/2019,6174.00 
10/06/2019,4662.00 
11/06/2019,14900.00 
12/06/2019,15181.00 
13/06/2019,14475.00 
14/06/2019,15525.00 
15/06/2019,7537.00 
16/06/2019,5327.00 
17/06/2019,14861.00 
18/06/2019,15162.00 
19/06/2019,15156.00 
20/06/2019,15138.00 
21/06/2019,15390.00 
22/06/2019,7610.00 
23/06/2019,5158.00 
24/06/2019,13860.00 
25/06/2019,14351.00 
26/06/2019,14633.00 
27/06/2019,13738.00 
28/06/2019,13774.00 
29/06/2019,7833.00 
30/06/2019,5660.00 
01/07/2019,13275.00 
02/07/2019,14224.00 
03/07/2019,14120.00 
04/07/2019,14017.00 
05/07/2019,13754.00 
06/07/2019,7454.00 
07/07/2019,5371.00 
08/07/2019,12436.00 
09/07/2019,13803.00 
10/07/2019,13290.00 
11/07/2019,12477.00 
12/07/2019,12167.00 
13/07/2019,6463.00 
14/07/2019,4416.00 
15/07/2019,12743.00 
16/07/2019,13736.00 
17/07/2019,13853.00 
18/07/2019,14190.00 
19/07/2019,14360.00 
20/07/2019,8145.00 
21/07/2019,6034.00 
22/07/2019,15294.00 
23/07/2019,16066.00 
24/07/2019,15880.00 
25/07/2019,16065.00 
26/07/2019,15942.00 
27/07/2019,8016.00 
28/07/2019,5580.00 
29/07/2019,15135.00 
30/07/2019,16444.00 
31/07/2019,16275.00 
01/08/2019,16452.00 
02/08/2019,16391.00 
03/08/2019,8662.00 
04/08/2019,5758.00 
05/08/2019,15538.00 
06/08/2019,16286.00 
07/08/2019,15877.00 
08/08/2019,15166.00 
09/08/2019,13877.00 
10/08/2019,6717.00 
11/08/2019,4910.00 
12/08/2019,14901.00 
13/08/2019,16171.00 
14/08/2019,15725.00 
15/08/2019,16110.00 
16/08/2019,16294.00 
17/08/2019,8001.00 
18/08/2019,5430.00 
19/08/2019,14934.00 
20/08/2019,15980.00 
21/08/2019,15908.00 
22/08/2019,16254.00 
23/08/2019,16334.00 
24/08/2019,7885.00 
25/08/2019,5528.00 
26/08/2019,15263.00 
27/08/2019,15804.00 
28/08/2019,15887.00 
29/08/2019,15986.00 
30/08/2019,16087.00 
31/08/2019,8375.00 
01/09/2019,5842.00 
02/09/2019,14615.00 
03/09/2019,14890.00 
04/09/2019,14894.00 
05/09/2019,15124.00 
06/09/2019,14607.00 
07/09/2019,7770.00 
08/09/2019,5996.00 
09/09/2019,14383.00 
10/09/2019,15286.00 
11/09/2019,15353.00 
12/09/2019,15291.00 
13/09/2019,16817.00 
14/09/2019,9141.00 
15/09/2019,6316.00 
16/09/2019,15367.00 
17/09/2019,15362.00 
18/09/2019,16513.00 
19/09/2019,16570.00 
20/09/2019,18640.00 
21/09/2019,6989.00 
22/09/2019,6533.00 
23/09/2019,15468.00 
24/09/2019,16704.00 
25/09/2019,16820.00 
26/09/2019,15812.00 
27/09/2019,17223.00 
28/09/2019,8755.00 
29/09/2019,6529.00 
30/09/2019,15030.00 
01/10/2019,16066.00 
02/10/2019,16077.00 
03/10/2019,16133.00 
04/10/2019,15307.00 
05/10/2019,8399.00 
06/10/2019,6696.00 
07/10/2019,6191.00 
08/10/2019,13838.00 
09/10/2019,15480.00 
10/10/2019,15401.00 
11/10/2019,15333.00 
12/10/2019,8053.00 
13/10/2019,6122.00 
14/10/2019,15540.00 
15/10/2019,16606.00 
16/10/2019,16217.00 
17/10/2019,16108.00 
18/10/2019,16428.00 
19/10/2019,7444.00 
20/10/2019,6001.00 
21/10/2019,15502.00 
22/10/2019,16230.00 
23/10/2019,16495.00 
24/10/2019,16405.00 
25/10/2019,16205.00 
26/10/2019,8298.00 
27/10/2019,6206.00 
28/10/2019,15240.00 
29/10/2019,15927.00 
30/10/2019,15464.00 
31/10/2019,16084.00 
01/11/2019,16565.00 
02/11/2019,7963.00 
03/11/2019,4680.00 
04/11/2019,15328.00 
05/11/2019,16200.00 
06/11/2019,16053.00 
07/11/2019,15793.00 
08/11/2019,15486.00 
09/11/2019,8004.00 
10/11/2019,5677.00 
11/11/2019,15164.00 
12/11/2019,15854.00 
13/11/2019,15938.00 
14/11/2019,16085.00 
15/11/2019,16283.00 
16/11/2019,8327.00 
17/11/2019,5614.00 
18/11/2019,15051.00 
19/11/2019,15612.00 
20/11/2019,15365.00 
21/11/2019,14762.00 
22/11/2019,15829.00 
23/11/2019,9606.00 
24/11/2019,5350.00 
25/11/2019,14783.00 
26/11/2019,15010.00 
27/11/2019,15325.00 
28/11/2019,15702.00 
29/11/2019,16247.00 
30/11/2019,7395.00 
01/12/2019,5427.00 
02/12/2019,14233.00 
03/12/2019,15287.00 
04/12/2019,15398.00 
05/12/2019,15239.00 
06/12/2019,16198.00 
07/12/2019,9008.00 
08/12/2019,6009.00 
09/12/2019,14455.00 
10/12/2019,14831.00 
11/12/2019,15280.00 
12/12/2019,15220.00 
13/12/2019,16045.00 
14/12/2019,7765.00 
15/12/2019,5513.00 
16/12/2019,13802.00 
17/12/2019,14120.00 
18/12/2019,14098.00 
19/12/2019,13573.00 
20/12/2019,12809.00 
21/12/2019,6075.00 
22/12/2019,4934.00 
23/12/2019,9736.00 
24/12/2019,7700.00 
26/12/2019,6008.00 
27/12/2019,6274.00 
28/12/2019,5160.00 
29/12/2019,4427.00 
30/12/2019,5639.00 
31/12/2019,6272.00 
01/01/2020,2793.00 
02/01/2020,8048.00 
03/01/2020,9480.00 
04/01/2020,5788.00 
05/01/2020,2712.00 
06/01/2020,9028.00 
07/01/2020,10291.00 
08/01/2020,11031.00 
09/01/2020,11114.00 
10/01/2020,11674.00 
11/01/2020,5831.00 
12/01/2020,4123.00 
13/01/2020,12033.00 
14/01/2020,12842.00 
15/01/2020,12378.00 
16/01/2020,12223.00 
17/01/2020,13227.00 
18/01/2020,6299.00 
19/01/2020,4923.00 
20/01/2020,12372.00 
21/01/2020,14041.00 
22/01/2020,13681.00 
23/01/2020,13014.00 
24/01/2020,13534.00 
25/01/2020,6685.00 
26/01/2020,5224.00 
27/01/2020,4218.00 
28/01/2020,12859.00 
29/01/2020,13286.00 
30/01/2020,13902.00 
31/01/2020,12608.00 
01/02/2020,5600.00 
02/02/2020,4734.00 
03/02/2020,14316.00 
04/02/2020,15462.00 
05/02/2020,15874.00 
06/02/2020,15755.00 
07/02/2020,16145.00 
08/02/2020,7284.00 
09/02/2020,4443.00 
10/02/2020,14418.00 
11/02/2020,16151.00 
12/02/2020,16133.00 
13/02/2020,15585.00 
14/02/2020,16719.00 
15/02/2020,6973.00 
16/02/2020,5292.00 
17/02/2020,15944.00 
18/02/2020,16874.00 
19/02/2020,16743.00 
20/02/2020,16693.00 
21/02/2020,18484.00 
22/02/2020,16948.00 
23/02/2020,7785.00 
24/02/2020,16139.00 
25/02/2020,17267.00 
26/02/2020,17179.00 
27/02/2020,17232.00 
28/02/2020,18782.00 
29/02/2020,11128.00 
01/03/2020,7179.00 
02/03/2020,16304.00 
03/03/2020,17140.00 
04/03/2020,14870.00 
05/03/2020,15027.00 
06/03/2020,16299.00 
07/03/2020,7675.00 
08/03/2020,5955.00 
09/03/2020,5524.00 
10/03/2020,16362.00 
11/03/2020,16275.00 
12/03/2020,16156.00 
13/03/2020,15568.00 
14/03/2020,6106.00 
15/03/2020,4439.00 
16/03/2020,12924.00 
17/03/2020,12499.00 
18/03/2020,11486.00 
19/03/2020,10692.00 
20/03/2020,10534.00 
21/03/2020,4234.00 
22/03/2020,2955.00 
23/03/2020,6635.00 
24/03/2020,4810.00 
25/03/2020,3861.00 
26/03/2020,3474.00 
27/03/2020,3296.00 
28/03/2020,1495.00 
29/03/2020,1237.00 
30/03/2020,2568.00 
31/03/2020,2489.00 
01/04/2020,2451.00 
02/04/2020,2022.00 
03/04/2020,2341.00 
04/04/2020,1227.00 
05/04/2020,1058.00 
06/04/2020,2347.00 
07/04/2020,2215.00 
08/04/2020,2240.00 
09/04/2020,2261.00 
10/04/2020,713.00 
11/04/2020,1121.00 
12/04/2020,973.00 
13/04/2020,965.00 
14/04/2020,2280.00 
15/04/2020,2284.00 
16/04/2020,2301.00 
17/04/2020,2379.00 
18/04/2020,1364.00 
19/04/2020,1113.00 
20/04/2020,2388.00 
21/04/2020,2339.00 
22/04/2020,2538.00 
23/04/2020,2571.00 
24/04/2020,2674.00 
25/04/2020,1329.00 
26/04/2020,1131.00 
27/04/2020,1261.00 
28/04/2020,2740.00 
29/04/2020,2246.00 
30/04/2020,2440.00 
01/05/2020,2475.00 
02/05/2020,1569.00 
03/05/2020,1477.00 
04/05/2020,2873.00 
05/05/2020,2807.00 
06/05/2020,3024.00 
07/05/2020,3107.00 
08/05/2020,3339.00 
09/05/2020,1860.00 
10/05/2020,1635.00 
11/05/2020,3113.00 
12/05/2020,3285.00 
13/05/2020,3264.00 
14/05/2020,3424.00 
15/05/2020,3766.00 
16/05/2020,2396.00 
17/05/2020,2001.00 
18/05/2020,3882.00 
19/05/2020,4339.00 
20/05/2020,4064.00 
21/05/2020,4363.00 
22/05/2020,4358.00 
23/05/2020,2369.00 
24/05/2020,2260.00 
25/05/2020,4948.00 
26/05/2020,5215.00 
27/05/2020,5202.00 
28/05/2020,5111.00 
29/05/2020,5583.00 
30/05/2020,3299.00 
31/05/2020,2500.00 
01/06/2020,2181.00 
02/06/2020,6010.00 
03/06/2020,6161.00 
04/06/2020,6236.00 
05/06/2020,6777.00 
06/06/2020,3567.00 
07/06/2020,2673.00 
08/06/2020,2612.00 
09/06/2020,6380.00 
10/06/2020,6426.00 
11/06/2020,6505.00 
12/06/2020,6895.00 
13/06/2020,3728.00 
14/06/2020,2724.00 
15/06/2020,6480.00 
16/06/2020,6731.00 
17/06/2020,6839.00 
18/06/2020,7118.00 
19/06/2020,7877.00 
20/06/2020,3881.00 
21/06/2020,2894.00 
22/06/2020,6784.00 
23/06/2020,7064.00 
24/06/2020,7567.00 
25/06/2020,7737.00 
26/06/2020,8029.00 
27/06/2020,4584.00 
28/06/2020,3510.00 
29/06/2020,6942.00 
30/06/2020,7425.00 
01/07/2020,7790.00 
02/07/2020,7398.00 
03/07/2020,8101.00 
04/07/2020,4454.00 
05/07/2020,3422.00 
06/07/2020,6679.00 
07/07/2020,6987.00 
08/07/2020,6904.00 
09/07/2020,6740.00 
10/07/2020,6914.00 
11/07/2020,3720.00 
12/07/2020,2943.00 
13/07/2020,5939.00 
14/07/2020,6804.00 
15/07/2020,6961.00 
16/07/2020,6800.00 
17/07/2020,7137.00 
18/07/2020,4450.00 
19/07/2020,3172.00 
20/07/2020,7601.00 
21/07/2020,7736.00 
22/07/2020,7484.00 
23/07/2020,7638.00 
24/07/2020,8284.00 
25/07/2020,4654.00 
26/07/2020,2465.00 
27/07/2020,6568.00 
28/07/2020,7870.00 
29/07/2020,8151.00 
30/07/2020,8061.00 
31/07/2020,8611.00 
01/08/2020,4556.00 
02/08/2020,3164.00 
03/08/2020,7372.00 
04/08/2020,7698.00 
05/08/2020,7621.00 
06/08/2020,7965.00 
07/08/2020,6916.00 
08/08/2020,3227.00 
09/08/2020,2462.00 
10/08/2020,7647.00 
11/08/2020,7779.00 
12/08/2020,7609.00 
13/08/2020,7958.00 
14/08/2020,8393.00 
15/08/2020,4068.00 
16/08/2020,3300.00 
17/08/2020,7584.00 
18/08/2020,7932.00 
19/08/2020,6960.00 
20/08/2020,7865.00 
21/08/2020,7458.00 
22/08/2020,3582.00 
23/08/2020,3033.00 
24/08/2020,7712.00 
25/08/2020,8137.00 
26/08/2020,8000.00 
27/08/2020,8314.00 
28/08/2020,8850.00 
29/08/2020,4735.00 
30/08/2020,3369.00 
31/08/2020,7760.00 
01/09/2020,8211.00 
02/09/2020,8304.00 
03/09/2020,8087.00 
04/09/2020,8851.00 
05/09/2020,4783.00 
06/09/2020,3400.00 
07/09/2020,7795.00 
08/09/2020,8367.00 
09/09/2020,8062.00 
10/09/2020,8532.00 
11/09/2020,9013.00 
12/09/2020,4586.00 
13/09/2020,3134.00 
14/09/2020,8359.00 
15/09/2020,8600.00 
16/09/2020,8762.00 
17/09/2020,8600.00 
